MUST HAVE,
Створення проєкту на GitHub,"Тім-лід. Сергій, ти знаєш, що робити!))"
"Базові стилі, скидання стилів, css-змінні, підключення шрифтів","Ствроення scss-паршелів з css-змінними, базовими стилями, загальними компонентами. Підключення шрифтів до проєкту. Підключення нормалізації стилів, якщо у збірці парселю немає"
"SVG-спрайт, картинки ","Зібрати всі SVG з макету у спрайт, оптимізувати (мініфікувати). Скачати та оптимізувати всі картинки по макету х1, х2 та ретина з урахуванням точок перелому. Додати до проєкту."
Розмітка сторінок,"Сторення розмітки сторінок з додаванням додаткових елементів, яких немає на макеті - світчер мови, відображення списку та теми, тег для виводу ім'я користувача, кнопка Sign up / Log in, зміна стилю відображення списку фільмівб фільтр (жанри, роки...), включаючи відображення картинок х1, х2 та ретина по точкам перелому."
"Стилізація сторінок, адаптивка + landscape",Створення scss-паршелів стилів сторінок та наявних у макеті модалок з урахуванням точок перелому орієнтації landscape
Клас для роботи з API,"Містить методи для роботи з API з додаванням різних ендпоінтів: тренди, ключове слово, жанри, роки, фільму за id. Ендпоінти потрібно обговорити"
Клас для функціонування модалок,"Клас при ініціалізації приймає елемент на якому сталася подія та містить методи для рендеру певної модалки при настанні події на певному елементі, закриття, знімання події, бекдроп, містить умову закриття при натисканні на бекдроп та клавішу Escape"
Модалка обраного фільму,"Створення розмітки та css-стилів. Рендериться при натисканні на будь-яку картку фільму, інфо додається динамічно після запиту на API. Додатково реалізована кнопка/посилання для перегляду трейлеру фільму"
Пагінація головної сторінки,"Опціонально, потрібно обрати між інфініті скрол та пагінацією"
Інфініті скрол (???),"Опціонально, потрібно обрати між інфініті скрол та пагінацією"
Спінер,Сторення розмітки та додавання css-стилів спінера
Favicon,"Додати Favicon до проєкту. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Підключення lazyLoading,Підключення lazyLoading бібліотеки для завантаження зображень
Зображення заглушка для сторінки Libary,"Заглушка відображаються при пустих списках ""Переглянуто"" та/або ""До перегляду"". Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Функціонал кнопок,"Написання callback-функцій для слухачів подій на всіх кнопках макету з урахуванням зміни тексту кнопок при настанні події, наприклад: при кліку на кнопці ""Додати у чергу до перегляду"" фільм додається у базу даних та текст кнопки змінюється на, типу, ""Фільм у вашій черзі до перегляду"" чи ""Видалити з черги""... потрібно подумати, узгодити, при натисканні повторно - фільм идаляється з черги."
Клас для роботи нотіфікацій,"Клас отримує назву події (""added"", ""deleted""....) та рендерить (або виводить) нотифікацію з текстом події та результатом. Додати css-стилі для різних результатів події.  Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Презентація,Всім потріібно буде ознайомитись.
Пошук багів (QA),
Фінальний Code Review,
,
ОПЦІОНАЛЬНО,
Сторення проєкту на Firebase,"Ініціалізація проєкту на платформі Firebase з подальшим використання інших ""плюшок"""
Підключення Firebase Cloud Firestore,"Хмарне сховище від Firebase, має свої плюси у порівнянні з Firebase Realtime Database. Для зберігання інформації про зареєстрованого користувача (ім'я,  email, список фільмів до перегляду та вже переглянутих) та икористання цих даних для реалізації проєкту. Під'язаний до Firebase Authentication."
"Пдключення Firebase Authentication (пошта/пароль, Google, FB, Git)","Підключення до WebApp можливості реєстрації та логіну через пошту (з підтвердженням через лист на пошту), Google-акаунт, акаунт FB та GitHub (чисто для свого потоку, опціонально, до обговорення)."
"Хостинг через Firebase Hosting (опціонально, до обговорення)",Хостинг WebApp.
Модалка реєстрації,"Створення розмітки, додавання стилів, додавання подій до інтерактивних елементів. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Модалка команди,"Сторення розмітки та css-стилів. Рендериться при кліку на посилання у футері GOIT Students. Містить картку кожного учасника з фото (всі фото адаптовані), ім'ям та прізвищем, роль у команді, посилання на соц.мережі. Додати інтерактив при ховері/фокусі на картку учасника. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Зміна теми,"Реалізація функціоналу кастомного чекбоксу з анімацією з вибором теми відображення сторінки (темна світла). Тема за замовчуванням - кольорова тема макету. Обрану тему необхідно записувати у локал сторедж. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Зміна мови,"Реалізація функціоналу кастомного чекбокса або елементу select з можливістю вибору мови - UA, EN (можливо ще якась). Мовою за замовчуванням пропоную обрати українську. Обрану мову необхідно записувати у локал сторедж. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Зміна стилів відображення списку фільмів,"Реалізація функціоналу кастомного чекбоксу або елементі select та його css-стилів, при перемиканні - зміни стилів рендеру карток списку фільмів.  Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Фільтр по жанрам/рокам (можливо через модалку?),"Створити розмітку та css-стилі для вибору фільтру по жанру, року тощо. Можна кнопку ""Додати фільтр"" та модалку, можна select. Необхідно обговорити. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Стилі header при скролі,"Реалізація хедеру фіксд, при скролі униз звужується та строка пошуку переміщається вище - на рівень з лого"
Кнопка повернення наверх,"Реалізація функціоналу плавного повернення з умовного низу сторінки на верх. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Слайдер з трендами тижня/місяця,"Сторення розмітки та css-стилів, додавання логіки JS. Ліворуч та проворуч від слайдера повинні бути стрілки для гортання. Наповнення - відповідь від API на запит відповідного метода. Реалізовано автогортання слайдеру через setInterval(). Створення двох кнопок - ""Тренди тижня"" та ""Тренди місяця"", опціонально - до обговорення, можливо залишити тільки тиждень чи місяць без кнопок. При натисканні на картку фільму рендериться модалка з розширеною інформацією. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
Кнопка Next Page,"Дадавання посилання Next Page на пустому місці десктопної версії списку фільмі на сторінці HOME. Візуалку необхідно узгодити з членами команди, надати на вибір декілька варіантів"
